receivedAtUtc,runId,modVersion,netMode,netModeName,playerCount,ascension,totalFloor,runTime,isVictory,eligibleDefaultStats,actIndex,rarity,rarityName,hex,hexName
2026-04-26T04:57:27.091Z,0ecbae639c5b74443740a42f696677f103c174d7dbe5e9f9b8223268210a2ebf,0.4.0,Singleplayer,单人,1,3,1,39,0,0,0,Prismatic,棱彩,CantTouchThis,你摸不到
2026-04-26T04:58:26.968Z,3de2f5ae84e1f2a2bd3eeea6109c21a097ae9cab86741682cc13111829804c88,0.4.0,Singleplayer,单人,1,0,1,28,0,0,0,Prismatic,棱彩,MasterOfDuality,物法皆修
2026-04-26T05:03:27.664Z,502b08aef98aea82fe334aa96c4764fbad523c3e1fcc8659ca068675fe56f88c,0.4.0,Singleplayer,单人,1,10,2,50,0,0,0,Prismatic,棱彩,MasterOfDuality,物法皆修
2026-04-26T05:04:13.854Z,66a05f3d1b7a5fcca33fb7ab1529ba04eafe0f337c37805ea3b43e40acb0c13a,0.4.0,Singleplayer,单人,1,1,2,169,0,1,0,Silver,白银,Thornmail,荆棘之甲
2026-04-26T05:05:29.599Z,8d39e6096769d86cd87aaa5421ed5451a59b8414087d68bddafff11e1d297832,0.4.0,Singleplayer,单人,1,10,5,91,0,1,0,Gold,黄金,DevilsDance,魔鬼之舞
2026-04-26T05:05:29.599Z,8d39e6096769d86cd87aaa5421ed5451a59b8414087d68bddafff11e1d297832,0.4.0,Singleplayer,单人,1,10,5,91,0,1,1,Prismatic,棱彩,FeyMagic,精怪魔法
2026-04-26T05:05:29.599Z,8d39e6096769d86cd87aaa5421ed5451a59b8414087d68bddafff11e1d297832,0.4.0,Singleplayer,单人,1,10,5,91,0,1,2,Silver,白银,Thornmail,荆棘之甲
2026-04-26T05:07:45.072Z,3c68e29ec11660d65442b9198fadbb82e7ab805dbeb85fa3a1f9d0229cfd9498,0.4.0,Singleplayer,单人,1,10,5,174,0,1,0,Prismatic,棱彩,UnmovableMountain,不动如山
2026-04-26T05:08:12.482Z,740cea350e602ec86230f5181719b4c6faf501349cf23ebf423ca2c712440487,0.4.0,Singleplayer,单人,1,10,4,764,0,1,0,Silver,白银,Thornmail,荆棘之甲
2026-04-26T05:09:19.546Z,c72738ceaf196481d5783421b870b318a23704ca7541ab9ed3edd744965b3183,0.4.0,Singleplayer,单人,1,3,18,641,0,1,0,Prismatic,棱彩,MadScientist,科学怪人
