receivedAtUtc,uploadedAtUtc,runId,seedHash,modVersion,gameVersion,netMode,netModeName,playerCount,ascension,currentActIndex,totalFloor,runTime,isVictory,eligibleDefaultStats,excludeReasons
2026-04-26T04:57:27.091Z,2026-04-26T04:57:27.1022351+00:00,0ecbae639c5b74443740a42f696677f103c174d7dbe5e9f9b8223268210a2ebf,d16454087cbd4ff2cc8fae49aca64b5e29a509ba22f2147a9821060df6abda24,0.4.0,0.103.2,Singleplayer,单人,1,3,0,1,39,0,0,short_run
2026-04-26T04:58:26.968Z,2026-04-26T04:58:27.2667159+00:00,3de2f5ae84e1f2a2bd3eeea6109c21a097ae9cab86741682cc13111829804c88,3b1b58c6bc092348922c9142fa053c59225bd387502ca2c38b181bde30ae91c2,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,28,0,0,short_run
2026-04-26T04:59:05.309Z,2026-04-26T04:59:05.6337775+00:00,6b0a20bbc2a81465d41f168c9efc6daba5c8894bea1cd7ae2ed2c065ebe2c5c6,114789503dd148699e2e77b1af1f4b5531c92cbe9d292b94c8fbc42607c39492,0.4.0,0.103.2,Singleplayer,单人,1,10,0,1,13,0,0,short_run
2026-04-26T04:59:35.641Z,2026-04-26T04:59:36.0039700+00:00,cbce9c53ca95fa777f7bf19c36236d2137bb50b500ac0d3cb04480e12fa4759c,9afff79684892fa3f606361aedd1280aaefed146a7a8bb598d7376d05149a9db,0.4.0,0.103.2,Singleplayer,单人,1,10,0,1,16,0,0,short_run
2026-04-26T05:03:27.664Z,2026-04-26T05:03:27.4912875+00:00,502b08aef98aea82fe334aa96c4764fbad523c3e1fcc8659ca068675fe56f88c,d91bb3affb0b78d8f00a8ce7e4a1d19f5de749902b3e80cb741b59ab3c13ee11,0.4.0,0.103.2,Singleplayer,单人,1,10,0,2,50,0,0,short_run
2026-04-26T05:04:13.854Z,2026-04-26T05:04:13.1921704+00:00,66a05f3d1b7a5fcca33fb7ab1529ba04eafe0f337c37805ea3b43e40acb0c13a,1e2f6ba19d954f465a792a3c6d8589b2ecdc454758cd46a90a24200008585e07,0.4.0,0.103.2,Singleplayer,单人,1,1,0,2,169,0,1,
2026-04-26T05:05:29.599Z,2026-04-26T05:05:29.3996262+00:00,8d39e6096769d86cd87aaa5421ed5451a59b8414087d68bddafff11e1d297832,608116507e444d60f5d381f91cf1be33eb8b00e1a20aa0e656908efaff012ab3,0.4.0,0.103.2,Singleplayer,单人,1,10,3,5,91,0,1,
2026-04-26T05:06:13.789Z,2026-04-26T05:06:13.1459010+00:00,06b03ce7a2437172d5d2d147522e85b20a769b3e24a1e083551e851cab682162,9fa1092aaa9d4a815a30e1ec12dc2abd98e9aa4630b4a7a05c5cfef44c136306,0.4.0,0.103.2,Singleplayer,单人,1,1,0,1,26,0,0,short_run
2026-04-26T05:07:45.072Z,2026-04-26T05:07:46.3286882+00:00,3c68e29ec11660d65442b9198fadbb82e7ab805dbeb85fa3a1f9d0229cfd9498,2fcc215ba05b324c7d5504fe7d4f588662be1c9cb3374e3c9bbb31fc301f53de,0.4.0,0.103.2,Singleplayer,单人,1,10,0,5,174,0,1,
2026-04-26T05:08:12.482Z,2026-04-26T05:08:12.3108870+00:00,740cea350e602ec86230f5181719b4c6faf501349cf23ebf423ca2c712440487,4c05f4b4e875e1bda28692b1d389ee7bc67a1b20d321e10ff69238d802c70a8c,0.4.0,0.103.2,Singleplayer,单人,1,10,0,4,764,0,1,
2026-04-26T05:09:19.546Z,2026-04-26T05:09:19.5742963+00:00,c72738ceaf196481d5783421b870b318a23704ca7541ab9ed3edd744965b3183,b3a0ae2df0b32fbd9eacd84e3c6d133f571cdb4f2e97840913d88eef85cbd434,0.4.0,0.103.2,Singleplayer,单人,1,3,1,18,641,0,1,
2026-04-26T05:10:08.097Z,2026-04-26T05:10:19.9809605+00:00,12d02cf5923152f1e36cbe5d7e78a8bb635427c404218c4e49604e4393527769,9c16155b45f5ef5f5ee2c54258b688fa618d74d9b5f3d3c48a77f770480959cc,0.4.0,0.103.2,Host,联机房主,2,0,2,45,2693,1,1,
2026-04-26T05:12:17.226Z,2026-04-26T05:12:19.0467380+00:00,d7cb5f9519a5e857dd54b4f289ac0d3b301aedd738f718b0a9ec18f3153c2a7d,9caf29175c57a577b95b544b93166d212cd70b1d8535366e26539e13f39282ef,0.4.0,0.103.2,Singleplayer,单人,1,10,0,1,10,0,0,short_run
2026-04-26T05:12:28.544Z,2026-04-26T05:12:40.4392651+00:00,f2c237f1f7f6d70474d304a70deaa74500bb7b0924d1648a5019e51e68680eea,64bcf4fcc0a7c81178eba211c1eda1529f9069150db969201b1f542bf2460baa,0.4.0,0.103.2,Host,联机房主,2,1,0,1,38,0,0,short_run
2026-04-26T05:12:59.270Z,2026-04-26T05:12:57.9881259+00:00,83c4969dc22e59f0f01ebb7e418f339d55089cf9b0324f250dc83e44e496e914,b4b2d479f891a2e23abcc4de8545ef51394c493228e0432c6a066fd56006478f,0.4.0,0.103.2,Singleplayer,单人,1,2,0,1,43,0,0,short_run
2026-04-26T05:13:45.640Z,2026-04-26T05:13:46.6739641+00:00,570e968b81153d6fa3db1613e5476f5ab4e978c0590898f5d2a7f604e4942a6a,45d7a6e4f6fa6f57398ff53d659a2fe329a1148bbff3c07c875be2e3fabc3ce6,0.4.0,0.103.2,Host,联机房主,3,10,0,1,60,0,1,
2026-04-26T05:13:48.988Z,2026-04-26T05:13:49.0179254+00:00,3b52cd0ce27b2c766fd644c2a1954ad1797f60c3d85fd2e7290cf3c0aca75ded,a7ad2c2ba0e744913dd5e2913528e77aa68a2a4b37661ed5989be314dad93342,0.4.0,0.103.2,Singleplayer,单人,1,3,0,6,261,0,1,
2026-04-26T05:18:59.808Z,2026-04-26T05:19:01.0643995+00:00,1cfd0e42fad14c5483b0f7db3de32330d48755eec2ee3247edeced61e2e7167c,a2162969051a32e6bdcf905c6f92363eab2451ea59b96fbaa689461911d36b3a,0.4.0,0.103.2,Host,联机房主,2,10,0,11,460,0,1,
2026-04-26T05:19:00.430Z,2026-04-26T05:18:59.3592461+00:00,1a01c772c10f6d18dbe2fe3bcf94c639be69b3a6292e1850146205e223f038b7,58b41a5933a05e8749c37fa8ae17f4948889afd48c0643fa86e0e6a39f08010d,0.4.0,0.103.2,Singleplayer,单人,1,0,0,0,8,0,0,short_run
2026-04-26T05:19:04.213Z,2026-04-26T05:19:02.9511481+00:00,10cee13a1f3dffbe8eecd45dfbcd2b12d9b517eaf27bb9205d3bd9e03385ad4b,2ba644d42e39540062f3a270334df8893e005632f3bee64455305b5aca69a143,0.4.0,0.103.2,Host,联机房主,3,10,0,1,24,0,0,short_run
2026-04-26T05:19:25.479Z,2026-04-26T05:19:45.1261733+00:00,530b40abc3e829cda1fb80af0fa2705ce2e985521538be783017130d557cacf3,2ec6c0fedc64b74d006242ae3418bff149824ec311270b429b5d834dfaf4ee26,0.4.0,0.103.2,Singleplayer,单人,1,10,0,1,19,0,0,short_run
2026-04-26T05:19:37.713Z,2026-04-26T05:19:36.4782688+00:00,2f8b715aad8a2fc4a9b910bf3bbf88886221225be445723d0e80c51a5a2ab858,11e4b2dcb0447def6ea75ff1d1ab1971dda2d00ab57756e62d25eeddbc803415,0.4.0,0.103.2,Singleplayer,单人,1,2,0,1,22,0,0,short_run
2026-04-26T05:20:43.437Z,2026-04-26T05:20:42.3101702+00:00,3b37f7a054d0979f44efca44ac73aadd81e136c65671d941c360f914bffe52e3,5c3700f72365987045cd6c893bc3d9b83977ea265933298a016bf074e1ce9bd0,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,8,0,0,short_run
2026-04-26T05:21:16.367Z,2026-04-26T05:21:16.2932941+00:00,d0a044f0daf2dbed09e36bab86a8e341f9e6e494c719739b2540929dad9e75f2,020de5e4d74dbae9d23ca5bae33b318ca2ae30800afa7671ffa0856177fdb692,0.4.0,0.103.2,Singleplayer,单人,1,10,1,32,985,0,1,
2026-04-26T05:21:43.220Z,2026-04-26T05:21:42.2029938+00:00,67fa53ca915d2739188a0384ded957804425c6a39766f5412ce1d2dfbf131323,dfe12023d07321f9f2ce1ca5003c99a6307ee32a7b33fbd053d7a6f944bb29dc,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,6,0,0,short_run
2026-04-26T05:22:02.502Z,2026-04-26T05:22:02.3991164+00:00,fdc5efe3f29e158bac0bbce6750e862be14216b971777d1f20c641b250939a1d,f6bdcfa571b0f645a3f1099f5cee5b2d7d8b05ea9dc3798c611e1c296947841d,0.4.0,0.103.2,Singleplayer,单人,1,8,0,1,42,0,0,short_run
2026-04-26T05:22:32.101Z,2026-04-26T05:22:31.0824366+00:00,31bdb742a9d406599a63f14d400f105b18db14874e7782b89db2c22ccb69ca4a,c120f75b509622e71e0385bb2766b5d05b6f11f93a1f32457a8ef0d7f60f8d02,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,25,0,0,short_run
2026-04-26T05:24:23.808Z,2026-04-26T05:24:22.9627826+00:00,da1e44880a900daa5d17a176b4b5a988e1397235c547174008f4dda98be7b1fe,349bb8383162e5269f6c1972f191f93be43a0cfcf040e5ba7ca3f94909ce1de0,0.4.0,0.103.2,Singleplayer,单人,1,0,1,25,6609,0,1,
2026-04-26T05:24:26.247Z,2026-04-26T05:24:26.3745861+00:00,79482eb2101e04f39f7234790171723530c1ed222e4a05dc69aadd1d9e3c88f4,ac72dbbbde95f652e402dc64fc6938d5af3819d04476bd5e9593c197a7f71f4f,0.4.0,0.103.2,Singleplayer,单人,1,1,0,14,235,0,1,
2026-04-26T05:28:20.775Z,2026-04-26T05:28:31.2844691+00:00,01332e75dfe5723ea434ee4355831b90dc18ae342148fde1914d6f28e44955f6,e7c8304f78d81289330e522eb5be9c9a14a4d63f49658fd9c74c84a7c3375f7c,0.4.0,0.103.2,Singleplayer,单人,1,0,0,2,30,0,0,short_run
2026-04-26T05:28:38.737Z,2026-04-26T05:28:37.9336142+00:00,5b41eff8a296873160e5fda5a93d2117bb2de13f3e5fd9f41eb6b73145a19304,538fa6765b3f8ef0e4a459977c76d19880385da47a1f596172be57dfd851afc2,0.4.0,0.103.2,Singleplayer,单人,1,10,0,1,14,0,0,short_run
2026-04-26T05:28:57.692Z,2026-04-26T05:28:57.5382710+00:00,e615d31fbcd59bf19db8876c0439c61e2b0a7837c2809c5909f6364f8613ffba,644a092e052dc5e07f53e7a700ced54049b36db8134cd0b7c7c96937f9dd5037,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,7,0,0,short_run
2026-04-26T05:30:18.065Z,2026-04-26T05:30:17.6048419+00:00,715c65105b51522d1451f2cb324dbba1157497fc9dc2359128216745d590f4b5,5623cb68d73ddf9f293698c44957f9ed780a045abb274ec45e36b803372e3b81,0.4.0,0.103.2,Host,联机房主,2,6,0,1,162,0,1,
2026-04-26T05:30:41.408Z,2026-04-26T05:30:38.3235309+00:00,8b1210259330da04c57f6439a3689fc39e1d19b8fc3c0d58df6ceb0fca0b246f,acdd2190cf241e7371503a62c4482e786eaf53a71dcb812723a3daea0d5c20fe,0.4.0,0.103.2,Singleplayer,单人,1,10,2,49,1158,1,1,
2026-04-26T05:30:42.554Z,2026-04-26T05:30:28.8001588+00:00,47a37cfd9391adfb704b81af5965844bf0485afa1905458776c7c3f7ab10b896,7fbaf16de0f0c00905ec785c6ac807fc09cab52c220c269cb6db44df51a9abdc,0.4.0,0.103.2,Host,联机房主,2,10,2,46,1667,0,1,
2026-04-26T05:30:43.598Z,2026-04-26T05:30:43.5193457+00:00,2705c7c416f332a52063bb5b6817793ef65b19eca1731a1675b47f11bfc217ea,8298864149be0f2fa096c1c5834b516b9e6ed332c26bcb25c05d897a31de67d7,0.4.0,0.103.2,Singleplayer,单人,1,1,0,2,30,0,0,short_run
2026-04-26T05:30:59.685Z,2026-04-26T05:31:01.6339892+00:00,d4804d9c5b3c8740377cb7d448b91b8d23a3bb7eee4de47e0f0253eec79a7058,4556ff630069a96ffd10bd5bc02d0061aff4df27cd19908071a5d7c9bb3ce96d,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,11,0,0,short_run
2026-04-26T05:32:01.972Z,2026-04-26T05:32:00.2652347+00:00,82fa22d178cde2cfb45289c7240039ff7a7a38c474a87ff942a867a5f57cda95,1ce61d068a26f45217bfdc15899fa5dabd9fa8c029744e20f16b5907c568a6f1,0.4.0,0.103.2,Singleplayer,单人,1,10,2,33,1083,0,1,
2026-04-26T05:32:36.518Z,2026-04-26T05:32:36.0548830+00:00,25dd9f51916a81866e12757e1df3584ba8630827225397d9bc13a40c272d5d23,9aa2f45378ba96293826b2efe4750d5653cb2addc114c7bc891af86cffb32ad4,0.4.0,0.103.2,Host,联机房主,2,6,0,1,105,0,1,
2026-04-26T05:34:44.084Z,2026-04-26T05:34:42.2148885+00:00,d645f78ee946720c01344851ba70dbaf2ad36039cbaf0ca208f29f9a2be2f99b,be09205b0428c8d13550ca4432035bad846ab5b625159fbed3deee664ed08a1c,0.4.0,0.103.2,Singleplayer,单人,1,3,0,2,23,0,0,short_run
2026-04-26T05:35:53.339Z,2026-04-26T05:35:50.9872534+00:00,d0c680d82c4ed6caba53448838fa2be6551b04016bbb2d895861f5b653d215af,a76787eb63232ebf1f64abfce1a17dff0a216a460840cb82a7755382d6fa17d3,0.4.0,0.103.2,Singleplayer,单人,1,0,0,0,10,0,0,short_run
2026-04-26T05:36:44.451Z,2026-04-26T05:36:43.8621928+00:00,5efddd4e1460cfb565531a090c974c654f1ad7590c7db7c367d3d49dbb76ef4f,266dd2b788225f4e20f3338bdc90f11fc6821776027a585ebce78f4966602d33,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,9,0,0,short_run
2026-04-26T05:36:51.539Z,2026-04-26T05:36:49.2603853+00:00,aa10ae0416008eb26c8ac1ec4bb7b071cd5c429436ac6f6d1584a419fca33d6f,9bff8e4cec22df6bfd545efe20a4a00c6b8cd07fc1b86cb4fc39b852be4b335e,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,15,0,0,short_run
2026-04-26T05:36:53.228Z,2026-04-26T05:37:02.5198085+00:00,a33ada5b937fdea21559dab734694be6917bd87e1197a5302345d35fd82330cd,09f0097296f2b355f060fe14795d1ec2f4ad93ca03c34223beabb1a199fa8523,0.4.0,0.103.2,Singleplayer,单人,1,0,0,4,234,0,1,
2026-04-26T05:37:20.354Z,2026-04-26T05:37:20.2728553+00:00,a41c483a975a500d385a774a75ea9b6b5adaabd3165049e46f3144bde4c90e60,d09ba12a1153009748c759c2de3c874bf37bf2747c684957cb42279ef0669221,0.4.0,0.103.2,Singleplayer,单人,1,0,0,2,525,0,1,
2026-04-26T05:37:22.510Z,2026-04-26T05:37:18.9464288+00:00,0a0b95b48659568c93de0d59c7bc2e48e72702db44455b721cef13a33dcb3cf7,21f24c034a16bcb424ae7c4f5b1f7ff9d3a5bd1702884b6159e1d298ec2c15af,0.4.0,0.103.2,Host,联机房主,2,10,2,46,2392,1,1,
2026-04-26T05:37:34.944Z,2026-04-26T05:37:32.6693596+00:00,0a55826c73b2ac39528a1b870b91ddcaa7e6fe7ad6eb0da0d401e801febc3ac2,83e7a7a71285f28b014f7bfb7daa9c0e1ca6df65bc7f93aaeac1c2e649171d39,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,12,0,0,short_run
2026-04-26T05:37:37.312Z,2026-04-26T05:37:36.7819501+00:00,ef5faf358224daf043b0ee2058c4d736e6c02efb28496eb3ad1bab175afa8781,f1b4075fbc54aee2980a8b4f4e6beed120e39a920d24673bc7840d64924d801d,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,23,0,0,short_run
2026-04-26T05:37:53.659Z,2026-04-26T05:34:17.0026170+00:00,98dba621ee4cf71965f01e77a76b5c6e583d7e6f691e27c0c7b5ab76fb7ab19c,beaa21dbfc3aedaaf108c9334fb42dcc483659f5aec6442ca7345381303f6527,0.4.0,0.103.2,Singleplayer,单人,1,0,2,48,1745,1,1,
2026-04-26T05:38:10.433Z,2026-04-26T05:34:54.9704128+00:00,e276c424687fe46b57da974377f1c9bb8919f08507f035ea5b1de2c2539adb04,8501df53493ef0adadbde78531f820b97346f00d745980047245999c57603d11,0.4.0,0.103.2,Singleplayer,单人,1,10,0,2,204,0,1,
2026-04-26T05:38:14.133Z,2026-04-26T05:38:11.8504955+00:00,e355cae52b50771b55ed62f405e64df2b628d7905243cbacf58bdbfba90671f7,17ac5f5f91edfcc1f2aaa4ca07ed36a7f6fa6db516bc2576018da01fee034b36,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,10,0,0,short_run
2026-04-26T05:38:18.831Z,2026-04-26T05:38:18.2993834+00:00,1196ebb3e3e0da79869bf23621171552f5757105922a0132ffa8b36c60c7175f,86ab87f73ffdc3a03a8ca300fac76bf24ec80b64cb467264084403f8a1683730,0.4.0,0.103.2,Singleplayer,单人,1,0,0,1,12,0,0,short_run
2026-04-26T05:39:31.854Z,2026-04-26T05:39:32.4724296+00:00,dfb31e1732943c05f44b490f4cdebc81372cbba0dc09ad02a6a3cc2e6c9816b1,685cc96a0f5dcd5fdc1910b58de5dd18acfe3e7f771a1cec5686b619e87a3e53,0.4.0,0.103.2,Singleplayer,单人,1,1,2,48,1175,1,1,
2026-04-26T05:39:54.532Z,2026-04-26T05:39:54.8748014+00:00,bd8db6420a3485a82ac8b57d2858922b290c33f479ce432bf88aed07b126cdb9,ef62d4e6b981b4424aff93a8c581f420a4090fc73a4461e2d29d83b49dbcc877,0.4.0,0.103.2,Singleplayer,单人,1,10,2,49,2115,1,1,
2026-04-26T05:41:00.060Z,2026-04-26T05:41:01.3519668+00:00,c3cebd55d3a2066a1fa67ac96ab86a8b16d1dab53b0eddabe183c9f6f12340d5,2c7038760633339022311f1b575440d22d33fb4ac40363be9104ffa3f14663d6,0.4.0,0.103.2,Singleplayer,单人,1,1,0,5,410,0,1,
2026-04-26T05:41:20.578Z,2026-04-26T05:41:18.6943297+00:00,e787a7b79961325e966a2a7a8011c39afb84f4dbf8bda27c02d2820744e6ef90,aa205adf111195dfc6f51996100135ae1552f7fb86fa4e54e3e3d804a57ff9ef,0.4.0,0.103.2,Host,联机房主,4,1,2,45,2410,1,1,
2026-04-26T05:41:59.629Z,2026-04-26T05:41:59.2883169+00:00,221faad529c9fbea87adf97ee7b211b1a53387584d44d8e787035a7d65810f76,f6e8d2101d936255fd3d229deef8528be4e20a0bdcb6b5c226557d62657cb139,0.4.0,0.103.2,Singleplayer,单人,1,2,0,1,90,0,1,
2026-04-26T05:42:22.827Z,2026-04-26T05:42:22.2315554+00:00,b49093543a33bf551d1110032bf5d225409dfea3a08832b0031b2c659a64e6d0,7edfc66b707d08102592cf2dee322c219bd4294fb89cfa09555f80f8e061174c,0.4.0,0.103.2,Singleplayer,单人,1,0,0,2,85,0,1,
