海克斯,出现,选择,选择率,选择后胜率
质变：棱彩阶,86,72,83.72%,70.83%
属性叠属性！,70,42,60.00%,73.81%
缩小引擎,69,36,52.17%,69.44%
罪恶快感,65,31,47.69%,54.84%
质变：黄金阶,62,52,83.87%,61.54%
循环往复,61,29,47.54%,58.62%
捐赠,61,21,34.43%,57.14%
红包,58,31,53.45%,70.97%
回归基本功,57,33,57.89%,72.73%
有始有终,57,32,56.14%,68.75%
缩小射线,57,15,26.32%,86.67%
属性叠属性叠属性！,56,30,53.57%,53.33%
急急小子,54,12,22.22%,66.67%
坦克引擎,53,31,58.49%,74.19%
不动如山,53,26,49.06%,65.38%
双刀流,53,21,39.62%,47.62%
基石猎人,53,19,35.85%,63.16%
魔鬼之舞,52,18,34.62%,66.67%
超凡邪恶,51,26,50.98%,61.54%
古式佳酿,51,6,11.76%,66.67%
坚韧,50,11,22.00%,63.64%
战争交响乐,48,20,41.67%,85.00%
当心小蛋糕,47,22,46.81%,77.27%
咏叹奏鸣,47,14,29.79%,78.57%
接二连三,47,13,27.66%,84.62%
敏捷转力量,47,13,27.66%,61.54%
秘术冲拳,46,18,39.13%,66.67%
裁决使,46,17,36.96%,58.82%
蛋白粉奶昔,46,12,26.09%,100.00%
质变：混沌,45,31,68.89%,67.74%
火上浇油,45,18,40.00%,83.33%
大力,44,15,34.09%,53.33%
你摸不到,44,11,25.00%,72.73%
吞噬灵魂,44,10,22.73%,50.00%
仆从大师,44,9,20.45%,55.56%
心灵净化,44,3,6.82%,66.67%
黎明使者的坚决,44,2,4.55%,50.00%
尤里卡,43,26,60.47%,76.92%
一板一眼,43,3,6.98%,100.00%
圣火,43,2,4.65%,100.00%
重量级打击手,42,23,54.76%,69.57%
歌利亚巨人,42,20,47.62%,70.00%
终极不可阻挡,42,13,30.95%,92.31%
尊我为王,42,8,19.05%,37.50%
无休回复,42,8,19.05%,87.50%
神圣干预,42,4,9.52%,100.00%
踢踏舞,41,18,43.90%,61.11%
夜狩,41,8,19.51%,50.00%
属性！,40,25,62.50%,72.00%
珠光护手,40,17,42.50%,58.82%
霸符兄弟,40,15,37.50%,60.00%
巨人杀手,40,9,22.50%,100.00%
死亡之环,40,9,22.50%,77.78%
无限循环往复,39,30,76.92%,70.00%
狂热者,39,17,43.59%,76.47%
炼狱导管,39,14,35.90%,85.71%
？？？,39,12,30.77%,58.33%
亮出你的剑,39,9,23.08%,66.67%
溢流,39,9,23.08%,66.67%
狂徒豪气,39,8,20.51%,87.50%
回力OK镖,39,7,17.95%,71.43%
家园卫士,39,6,15.38%,66.67%
星界躯体,39,6,15.38%,50.00%
巨像的勇气,39,2,5.13%,100.00%
终极刷新,39,2,5.13%,100.00%
逃跑计划,38,3,7.89%,66.67%
急救用具,37,16,43.24%,75.00%
夺金,37,11,29.73%,45.45%
男爵之手,37,10,27.03%,100.00%
超强大脑,37,8,21.62%,75.00%
尖端炼药师,36,2,5.56%,50.00%
连拨击锤,35,12,34.29%,66.67%
玻璃大炮,35,10,28.57%,60.00%
地狱三头犬,35,9,25.71%,33.33%
折磨者,35,6,17.14%,50.00%
慢炖,34,6,17.65%,100.00%
山脉龙魂,33,10,30.30%,50.00%
速度恶魔,33,7,21.21%,71.43%
坚若磐石,33,5,15.15%,60.00%
献祭,33,5,15.15%,100.00%
点亮他们！,32,14,43.75%,78.57%
物法皆修,32,5,15.62%,20.00%
荆棘之甲,31,11,35.48%,72.73%
米凯尔的祝福,31,1,3.23%,100.00%
女王,30,8,26.67%,87.50%
潘朵拉的盒子,30,7,23.33%,85.71%
快中求稳,30,6,20.00%,83.33%
灵巧,29,11,37.93%,81.82%
力量转敏捷,29,9,31.03%,55.56%
科学怪人,29,7,24.14%,71.43%
由心及物,29,6,20.69%,83.33%
恶趣味,29,4,13.79%,25.00%
感受燃烧,29,1,3.45%,100.00%
退敌力场,29,1,3.45%,0.00%
冰霜幽灵,29,0,0.00%,
大地苏醒,28,7,25.00%,85.71%
扇巴掌,27,11,40.74%,81.82%
最终形态,27,3,11.11%,100.00%
精怪魔法,25,0,0.00%,
防护面纱,24,9,37.50%,77.78%
巫师式思考,6,4,66.67%,100.00%
敏捷力量转集中,5,5,100.00%,60.00%
