海克斯遗物 Flavor 清单

来源：assets/localization/zhs/relics.json
排序：hextech_relics_summary.txt 当前顺序
说明：敌方海克斯使用同名图标遗物，因此 flavor 与同名海克斯遗物共用。

玩家海克斯：

白银：
- 扇巴掌：先给一记耳光，再让羞辱慢慢生根。
- 敏捷转力量：轻步收成重拳。
- 力量转敏捷：把蛮力拧细，便成了身法。
- 敏捷力量转集中：筋骨收声，核心自会发亮。
- 巫师式思考：别挥太急。先让脑子发光。
- 灵巧：多一张牌，常常就是多一条路。
- 逃跑计划：最可靠的撤退，开战前便已写好。
- 恶趣味：痛苦若能回收，便不算浪费。
- 急救用具：绷带不信奇迹，手快就是答案。
- 再生抑制：伤口闭口不言，硬壳替它作答。
- 巨蛇之牙：盾牌中毒后，破裂便成了症状。
- 攻防一体：一进一退，合成同一刀。
- 黑蜡烛：火苗向内燃烧。
- 灼热攻击：第一道火痕只是开始。
- 霸王血铠：血肉垒高，锋芒随之加重。
- 破碎金冠：王冠裂开后，余辉仍然刺眼。
- 鲜血神像：金币落下时，神像会轻轻搏动。
- 诺奴佩普的慷慨：古老的慷慨从不解释来处。
- 升级：至亮之焰：最亮的火，终于学会不再吞噬灯芯。
- 速度恶魔：先动起来的人，连机会都追在身后。
- 重量级打击手：体重只是数字，落地声写出答案。
- 大力：有些问题，确实可以大力解决。
- 启动流程：流程走完之前，伤口最好先在门外排队。
- 收集者：有人数战果，有人数账目。
- 不退甲胄：退路留给别人，裂缝归入甲纹。
- 百鬼夜行：夜路拉长，影子结队而来。
- 歃血：血滴落下，誓言开始计数。
- 血小板：伤口刚张开，防线就开始结痂。
- 钝刀片：刀口不利，疼痛还在。
- 以进为退：向前一步，正好退进守势里。
- ！？蛇咬？！：草丛动了一下，然后你的手牌也动了一下。
- 剑意：剑先于手抵达，心意随后补上。
- 无暇：没有颜色的剑光，反而最难挑出破绽。
- 凝辉：每一张新牌的边缘，都能折出一点星光。
- 王令：一枚辉星落下，一道王令成形。
- 副产物：故障不是浪费，它只是另一条线路的开端。
- 电能激荡：电流醒来时，从不先敲门。
- 引魂：轻声一唤，远处的回音便排队归来。
- 嘲弄：不祥预言最适合高声朗读。
- 尸骨护主：旧骨无眠，先替主人迎上刀口。
- 石膏：裂痕被白色填平，奥斯提又能站稳。
- 剑术：剑路放缓，格挡随后成形。
- 顺手的事：手比脑子更早做出了选择。
- 横扫之刃：刀锋横过时，排队已经没有意义。
- 升级：放血：伤口还没闭合，刀已经回到手里。
- 升级：战斗专注：专注敞开门扉，牌流不会止步。
- 升级：势不可挡：铁墙落下时，所有敌人都听见回响。
- 升级：恶魔形态：恶魔索取力量，也懂得把血还回去。
- 升级：痛击：重击开路，破击收声。
- 升级：暴露：帷幕揭开，护符也一并碎裂。
- 升级：尖啸：声音刮过骨头，力气留在原地。
- 升级：未掘宝石：宝石可以继续切面，直到光折回手中。
- 催化剂：毒需要的，只是一只推手。
- 海洋龙魂：潮水退去以后，甲板上仍有心跳。
- 炼狱龙魂：第一粒火星落下时，结局已经变热。
- 海克斯科技龙魂：电弧先一步想好了下一回合。
- 折磨者：疼痛会离开；折磨会留下。
- 坚若磐石：恶意撞上石头，回声替你报复。
- 山脉龙魂：山从不闪避，它只是等待你先碎裂。
- 冰霜幽灵：寒意沿脚踝攀升，步步都像遗言。
- 霸符兄弟：一人递拳套，一人递工具箱。
- 家园卫士：守住脚下，远方自然会摊开。
- 快中求稳：快到极处，更该给失误留壳。
- 献祭：每个幸存的敌人，都是还没兑现的筹码。
- 防护面纱：真正的面纱，是让诅咒以为自己已经命中。
- 退敌力场：墙角并非尽头，力场尚未启动。
- 点亮他们！：第四次挥击时，火花会替你再说一遍。
- 终极不可阻挡：大动作上场前，反制最好先退场。
- 荆棘之甲：碰上来之前，它看起来只是一副盔甲。
- 狂热者：遗物攒多后，开局心跳吵成鼓点。
- 由心及物：念头堆到足够多，肉身也得让路。
- 属性！：先把数字敲进骨头里。
- 精挑细选：多看一眼，胜率就从缝隙里探头。
- 强力护盾：盾面加厚，下一拳顺势变重。
- 侵蚀：盔甲还在，里面的胆量先被锈穿。
- 转的我眩晕了：牌面被转速揉成一团。
- 热身运动：没挥出去的一拳，正在肌肉里排队。
- 和平主义者：刀锋收起，恶兆开口。
- 砸开那颗蛋：壳裂开的声音，总有人要负责听完。
- 咔咔！：第一声咔哒是忍耐，第二声亮出刀口。
- 残暴之力：够快，够重，够不讲理。
- 狂暴：把破绽也点燃。
- 残虐：疼痛会催促手牌。
- 谢幕：最后一击会等到掌声响起。
- 乾坤一掷：胜负从不喜欢旁观者。
- 即死：预兆一旦盖过生命，结局即刻落槌。
- 升级：死神形态：镰刀落下，倒计时也随之敲响。
- 蛮夷之道：优雅退场，利爪入场。
- 愁云惨淡：阴云层层坠下。
- 升级：电击：电流沿着旧线路再跑一圈。
- 升级：自动化：旧机器不再吐出火花，而是吐出备件。
- 万用瞄准镜：瞄准得够准，出手也会省力。
- 枯木：干枝烧尽后，灰里长出别的东西。
- 升级：碎骨：骨头碎裂前，先把最后的力气递给你。
- 升级：不死：不死不是停留，而是一次又一次消失。
- 重编程：旧指令被擦除，新误差开始发光。
- 升级：何人僭越：僭越者先低头，膝盖随后明白。
- 升级：暴政：每一层压迫，都会留下碎片。
- 升级：虚空形态：坠入虚空后，你仍留下一只手出牌。
- 精神护盾：念头堆起，盾面随之成形。
- 质变：黄金阶：银色外壳裂开时，里面未必还是旧东西。
- 添柴：火堆吃掉旧牌，余烬让路。

黄金：
- 裁决使：审判无需冗长，敌人站低便够了。
- 超凡邪恶：恶意养熟以后，便懂得自行开花。
- 坦克引擎：轰鸣沉进骨头，停下反而成了奢望。
- 星界躯体：星辰借出躯壳，重量随之落下。
- 古式佳酿：老酒不治伤，偏能让血继续热。
- 小猪存钱罐：疼痛敲响，金币跟着落袋。
- 欧洛巴斯的祝福：祝福从旧齿与新伤中长出。
- 十字圣球：圣光会过滤平庸。
- 虚幻武器：看似空手，实则锋利。
- 涅奥的怨恨：恩赐终会褪色，怨恨留在骨缝里。
- 圣火：神圣的火焰，总爱顺手点燃旁观者。
- 一板一眼：抽象思考留给别人；这里按拳头办事。
- 超强大脑：聪明堆到尽头，脑壳长成盾牌。
- 溢流：闸门不该半开。要么枯竭，要么泛滥。
- 坚韧：裂缝不是终点，它证明还有东西撑着。
- 循环往复：把今天调成昨天的样子，能省下许多祈祷。
- 回力OK镖：它飞走时像玩笑，飞回时像催债。
- 神圣干预：奇迹少作解释，致命的一寸被悄悄挪开。
- 咏叹奏鸣：一拍催行，一拍止血，乐章刚好够长。
- 大法师：真正的大法师从不亲自付账。
- 腐化树枝：赞助者物品：干枯的树枝仍会开花，只是花瓣有些发黑。
- 自然即是治愈：让伤口跟着呼吸，草木会替你合上。
- 豪猪：别碰。它已经把礼貌写成了刺。
- 星光闪闪：赞助者物品：星光闪耀时，胜利也会多看你一眼。
- 色彩发现：赞助者物品：换一种颜色，答案也许会亮起来。
- 手快全拿：伸手够快，选择就不会只剩一个。
- 安东尼的偏见：偏见写进牌堆，越厚越有底气。
- 欧米伽：倒数结束后，只剩终章。
- 暴力：答案可以复杂，出手不用。
- 佩尔的慵懒：慢到尽头，伤害也追不上你。
- 更万用的瞄准镜：第二次校准后，世界少了一半偏差。
- 尖端炼药师：烧杯颜色危险，标签顿时显得体面。
- 魔鬼之舞：步伐贴着刀刃，血热得像鼓点。
- 有始有终：开局写下终章，终章负责收割。
- 基石猎人：每一场胜利，都从最趁手的工具开始。
- 狂徒豪气：伤口还没合上，铠甲已经长出下一层。
- 红包：红纸包住好运，账本在里面轻响。
- 生命回流：燃尽的纸灰，顺着血管回到了原处。
- 死灰复燃：灰烬里还藏着一口没熄的火。
- 戏法特许：规则也会给娴熟的手法让路。
- 星河馈赠：星光不是货币，它只是偶尔愿意找零。
- 无中生有：空处并非空白，袖口还藏着答案。
- 润滑油：沉重齿轮遇上第一圈，便学会顺滑。
- 狂妄：胜利堆高后，谦虚成了多余负重。
- 汲取：每一次呼唤，都从敌人的命运里舀走一点。
- 致命节奏：刀锋落下之前，节拍已经先一步命中。
- 升级：蛇咬：蛇在袖中盘得越久，咬得越快。
- 墨影：刀锋出鞘前，影子先落下。
- 海市蜃楼：毒雾浓起，幻影便有了墙的轮廓。
- 涌现：线路交不出答案，电流自会补上。
- 自适应电容：容量向外延展，刚好收住下一次过载。
- 换新：旧牌落地，新牌已经在袖口发烫。
- 怨灵：怨念积深，刀口自然发冷。
- 剑来！：王命所至，剑不问路。
- 袖中连环：袖口很窄，刀光却总能多绕一圈。
- 御前试剑：剑锋出鞘，侍从便知道该上前。
- 王之凝视：王不需要呵斥，目光已经足够沉重。
- 硬骨头：骨头记得疼痛，反击同样刻得很深。
- 来人！：命令落下，总有人抢先冲进光里。
- 好运：掷出的不是骰子，是下一张命运。
- 耀光：光落下时，伤口和锋刃同时发亮。
- 操控现实：现实只是还没定稿的草稿。
- 不朽骨：骨头记得回来的路。
- 归为己用：敌人留下的东西，迟早会学会听你的名字。
- 大限将至：终点并不突然，它只是每天准时靠近一点。
- 心灵净化：所谓净化，不过是把问题留给旁边的人。
- 无休回复：旅途不负责温柔，只负责让你没倒下。
- 急急小子：能量灌进手腕，犹豫就追不上了。
- 仆从大师：亲力亲为，是管理失败的证据。
- 吞噬灵魂：每吞下一点黑暗，影子就更像本人。
- 捐赠：别问用途。收据会自己出现。
- 接二连三：第一下试探，第二下确认，第三下定案。
- 面包和黄油：最朴素的配方，也能把第一刀烤得更脆。
- 面包和奶酪：拉丝不只是口感，也可以是咒语的余音。
- 面包和果酱：甜味抹开时，手法也会多绕一圈。
- 火上浇油：火势太小的时候，道德感最碍事。
- 夜狩：夜色不帮善人，只帮还没出手的人。
- 罪恶快感：快乐若要有分量，最好晚一拍兑现。
- 黎明使者的坚决：黎明不会早到，总有人替你撑到那时。
- 缩小射线：尺寸开始谈判时，尊严跟着缩水。
- 缩小引擎：缩小之后，速度把计划甩在身后。
- 旧日雕像：先向沉默献上第一回合，旧日才肯回望。
- 蓝烛药箱：烛火照亮伤口，诅咒封口一并显形。
- 大手子：大手一合，骨头数量立刻显得寒酸。
- 潘金莲的盒子：盒盖一响，旧日的廉价牌名全都散去。
- 骨肉交融：肉退一步，骨便向前一整排。
- 便携睡袋：睡意塞进口袋，醒来时总能多带走一点什么。
- 移动房车：家当不多，刚好能塞下一整段旅程。
- COSPLAY：赞助者物品：把别人的招式穿在身上，命运也认不出你。
- 多多益善：行囊压肩，脚步仍像宣言。
- 镜中倒影：镜子没有偏见，乏味的影子被留在外面。
- 血铠：每一道裂口，都会补上一片铁。
- 惊逃：恐惧先动手，理智迟到。
- 坦克斯之盾：盾牌不劝你停下，它替你撞得更久。
- 偏差认知：只要足够确信，每张牌都像打击。
- 升级：出击：奥斯提听见号令，也听见伤口。
- 尸爆术：毒素只负责第一声。
- 升级：生存者：丢掉负重，留下活路。
- 升级：中和：刀锋离手，仍会找到每一个破绽。
- 御剑飞行：剑先行，牌随后。
- 电动力学：电弧从不只找一个出口。
- 升级：压缩：废料离开手牌，转身成了燃料。
- 升级：热修复：临时补丁，留下了永久余热。
